"binAges","ens1","ens2","ens3","ens4","ens5","ens6","ens7","ens8","ens9","ens10","ens11","ens12","ens13","ens14","ens15","ens16","ens17","ens18","ens19","ens20","ens21","ens22","ens23","ens24","ens25","ens26","ens27","ens28","ens29","ens30","ens31","ens32","ens33","ens34","ens35","ens36","ens37","ens38","ens39","ens40","ens41","ens42","ens43","ens44","ens45","ens46","ens47","ens48","ens49","ens50"
0,-0.139115470344778,-0.0193545395746876,0.119681843418631,-0.13307507015174,0.0680585397410999,0.132772880666313,0.050807221981517,0.00244746599175344,-0.0301754097365848,-0.049522188838245,-0.00185258550480288,-0.153848531852329,0.0326712411691329,0.0643238460549448,0.0650907462387316,0.126667474396167,0.15502150396682,-0.0905893045081119,-0.0299833272433014,0.0837994213996576,-0.0706679090874392,-0.181317997737894,-0.0770090026114399,0.123831654885999,-0.135056269627608,0.0944953165170862,0.0666717665730175,-0.117324993484037,0.206286256868375,-0.133965032093236,-0.184536380926165,0.0267023453361501,-0.0059052094550483,0.00355534603032043,-0.136855932730266,0.0201543790798402,-0.0444495046689655,-0.0813954430555972,0.00435933411366862,-0.0325955322802606,-0.00131309484984371,0.0433939303476192,0.0541621911505462,-0.15201930786676,-0.0130995659997925,-0.0198218717319788,-0.0885219530826683,0.196383794675301,-0.118446858347519,0.0930619357604173
100,-0.12954146533124,-0.0203288695099432,0.096214631732328,-0.0913671389674749,0.0776113018801019,0.13447336613375,0.045324474785498,0.0297607525405537,-0.012432473539606,-0.0320585289821768,-0.00527995473959669,-0.121416848155441,0.0443721516337026,0.102177718292574,0.0604460876897369,0.139000530632689,0.121217399030249,-0.0975280643476729,-0.0196612710642071,0.0725724253927326,-0.077280928332136,-0.15137050653079,-0.0734048602876252,0.1062837655662,-0.128275573416509,0.116161477829804,0.0630559199238969,-0.0818726814278865,0.182813862791239,-0.108154528002259,-0.168031585577004,0.00579203750786039,-0.0152937547672947,0.0171288616839504,-0.119109034444605,0.00756934253874741,-0.037538335137949,-0.057701762376855,0.00527995473959669,-0.0546340171107123,0.0257841729795961,0.0451815269834768,0.0440309504017574,-0.145565035965723,0.00822857934042109,-0.0266560109890517,-0.0796139814691125,0.190947857825975,-0.0989191084521944,0.0749449962780885
200,-0.110393455304165,-0.0222775293804544,0.0492802083597221,-0.00795127659894485,0.096716826158106,0.137874337068625,0.0343589803934599,0.084387325638154,0.0230533988543515,0.00286879072995994,-0.0121346932091843,-0.0565534807616664,0.067773972562842,0.177885462767833,0.0511567705917475,0.163666643105731,0.0536091891571068,-0.111405584026795,0.000982841293981573,0.0501184333788825,-0.0905069668215296,-0.0914755241165831,-0.0661965756399958,0.0711879869266026,-0.11471418099431,0.159493800455239,0.0558242266256558,-0.0109680573155858,0.135869074636967,-0.0565335198203046,-0.135021994878683,-0.0360285781487191,-0.0340708453917876,0.0442758929912103,-0.0836152378732833,-0.017600730543438,-0.0237159960759159,-0.0103144010193707,0.00712119599145278,-0.0987109867716157,0.0799787086384756,0.0487567202551919,0.0237684689041797,-0.132656492163648,0.0508848700208481,-0.0403242895031974,-0.0617980382420008,0.180075984127324,-0.0598636086615459,0.0387111173134309
300,-0.0858211668527875,-0.00806373456315496,-0.00596299534402456,0.0593855029142019,0.110865630698274,0.0930680609772164,0.0578502342011956,0.12207065843825,0.0597244490737044,0.0327203289180719,-0.0228685089393617,-0.0351082760964771,0.0624002297859764,0.158458504153897,0.0693842281509719,0.169275348123149,0.0124651544753989,-0.0924425335658001,0.00742381446243551,0.0248434825995417,-0.0793414261086225,-0.059302415975877,-0.0485667900212536,0.012081437306401,-0.112202524409956,0.140562757553197,0.0459575582158504,0.0314216614433702,0.115553272637242,-0.0160656631360307,-0.100673813948494,-0.0363005879428716,-0.0310646571524643,0.0408959115357005,-0.0298132948059858,-0.0322966064075818,-0.00927530219379846,-0.0279918291548681,-0.00598045155671978,-0.100407997952137,0.103898610873828,0.0540917962921448,0.00617298437446356,-0.0954214469146934,0.0837987659814771,-0.0370037733112036,-0.0524983375964866,0.164280959231064,-0.0488818390467138,-0.00398754002592705
400,-0.0558245999771079,0.0223125149419552,-0.0695149793789118,0.110643199571965,0.120057715500605,5.45378595254165e-05,0.115798236208705,0.142810750940841,0.0975806771184526,0.0574960855821593,-0.0374814019301292,-0.0570812341598733,0.028250923303106,0.0438968424507657,0.11512846036741,0.155826645684943,-0.00221470501487447,-0.0406389129646887,-0.000338351558845207,-0.00325242694528999,-0.0437843061934147,-0.0548511821086721,-0.0205155034313987,-0.0710358832944048,-0.120740603663447,0.0593683491236776,0.0334559146944808,0.0452964748489816,0.121866456792062,0.0132490420505625,-0.064987042786437,0.00497600812540278,-0.00627519004932492,0.00698891731742096,0.0422967947572869,-0.036518285053684,0.0057837465084033,-0.110734046783347,-0.0340249879049209,-0.059725050652277,0.0975438796856539,0.0611867550943356,-0.00875550318739099,-0.0338599002188591,0.106970267222308,-0.0166944624130707,-0.05171487953257,0.143562783137194,-0.0659737996076981,-0.0531509757399851
500,-0.0152707693202824,0.0174263279034485,-0.0719991556244259,0.125053815218237,0.130499402905611,-0.0619407911503946,0.147285324185417,0.157321902275566,0.137383277541711,0.0755693890970607,-0.00863074400591152,-0.0528341533803148,0.0233799248717937,-0.000807917183223705,0.155846616064138,0.140830592759248,-0.00742089346271152,0.00526677401660247,0.0120966952163489,-0.00738322289743337,0.00444526930288996,-0.0512597580249308,-0.00237107524273383,-0.0674278664886366,-0.102158891891589,0.0269221982391212,0.0329663183714385,0.0263564677853049,0.0964895753121167,0.0165472545494716,-0.0445775217429441,0.0559236866151346,0.0248766373820543,-0.0283869454793731,0.034699816358387,0.00451878488923751,0.00551273027642263,-0.143621535930676,-0.0228904079618432,-0.0042519646984433,0.0499698859147247,0.0765022417662367,0.00359152542594543,-0.00266725782817787,0.131882621667156,0.0327714829610412,-0.0374126267077673,0.148196949772086,-0.0805942103897984,-0.093233900872864
600,0.0358403251176888,-0.0227222956786749,-0.0134155240805668,0.102617349853018,0.142190692913292,-0.0929179260525438,0.152311498131333,0.165604112442424,0.179132250343478,0.0869402394627761,0.0636834648332912,-0.0223670337578014,0.0477872344920394,0.0243442252519284,0.191538695241157,0.124287189346064,-0.00315341086811222,0.0452745273780735,0.0447289547880179,0.0124510947431115,0.0653473003802915,-0.0485281437246531,0.00586649454474097,0.0229054877237057,-0.0564573890943827,0.0432243048995281,0.0444887692467235,-0.0253983597476601,0.0394226281974067,-0.00617102563930361,-0.0394452508180153,0.116542447526324,0.0623908251416732,-0.0652316768546818,-0.0526042300026855,0.0908146034211829,-0.0100883508897405,-0.126654296596856,0.0274232882725133,0.0660112599093638,-0.0388233704389596,0.100038256307848,0.0432140702144729,-0.00184351974264976,0.158535829316023,0.111394062811132,-0.00959157912207853,0.178183459135739,-0.0927430713930144,-0.124236315424564
700,0.0544577786880552,-0.033104970969333,-0.000821477967508977,0.0713365201389634,0.105027123506566,-0.0644769527435822,0.145292233694772,0.1680175974587,0.167266313226887,0.121989838223732,0.115153870216298,0.0116832282583729,0.0534006491694612,0.0549532465807016,0.18179823644985,0.119528272005141,-0.00680880098990228,0.0772466271335334,0.0571626792757615,0.0363173642896478,0.0554645987604576,-0.040325887830375,0.0149048428320454,0.0721283388584465,-0.0419188886236337,0.0857502309211012,0.0740502253590553,-0.0426774776915185,-0.0105996328909294,-0.000330477540317953,-0.0651403291289811,0.148123484471895,0.0937704340580503,-0.0635357874459747,-0.0841940662612538,0.143635132581181,0.0034114638906747,-0.0880642597500552,0.0312832227816132,0.0809756222561402,-0.0758430836398441,0.115292508773277,0.0801896680156444,-0.0295525942051323,0.18480007587735,0.130790162414104,0.026923875420054,0.226517837245847,-0.0736468453135786,-0.116579589946065
800,0.0405815913908168,-0.0137216979685256,-0.0342170172852524,0.0312113260760743,0.0190086946854353,0.0233821287764899,0.126227530875734,0.164562357324394,0.101785466191937,0.180718185379928,0.145780472143108,0.0493166326682082,0.0402201689040593,0.0910191468030958,0.126625239690217,0.126553840736477,-0.0183870638280815,0.101183073282982,0.0493978686795795,0.0642155857421756,-0.0252028355566118,-0.0266529903420966,0.0247439696191795,0.0802406869155858,-0.0585433904793425,0.154499976303841,0.121650686708434,-0.0254808860462701,-0.0535772079528914,0.0340688988464284,-0.121662756675841,0.150666797451847,0.119015464131186,-0.0232992772532515,-0.0600696924173177,0.162980372369233,0.0460121746176683,-0.0278514253902752,-0.0113106044345437,0.040641122341886,-0.061089253687929,0.122264999162525,0.11451831882946,-0.0857944812156252,0.21067536135114,0.0909597817699584,0.0721337369186304,0.293200084102409,-0.0233055321514909,-0.0702637244373664
900,0.0376583587648586,-0.00113494641272094,-0.0689346144805324,0.0380299957292945,-0.0220200556685672,0.0715649716070859,0.13957861060731,0.142469836535838,0.0784931492881368,0.175470022731833,0.172305747726636,0.0781987808179043,0.0596004999351021,0.0983872259216344,0.0704602189697168,0.113992410105262,-0.000375131787606675,0.111698773957734,0.0610929972949857,0.0716244896264308,-0.0514804235695784,-0.00816523495758609,0.0430789137485388,0.0553762647902753,-0.0634367737163085,0.132810177286149,0.137401846880782,0.011671803837725,-0.0112545856663954,0.050759951865541,-0.142795666726565,0.150429155101821,0.146694769945421,0.0443444228963226,-0.0612259193544974,0.156085115739253,0.0770730018216035,-0.00945099981234926,-0.0265431271924351,0.0329832084138912,-0.0172670702005798,0.104400329025008,0.104757861045126,-0.11532790689862,0.204798630590968,0.0717952338711429,0.0919091649792755,0.313277125611202,-0.0299548500774751,-0.0443210093426034
