year,age_bp,mean,lo_95,hi_95,n_members,cps_median,dcc_median,gam_median,paico_median,scc_median
-10050,12000.0,-1.03322644880986,-4.408632939539523,-0.7196205052098208,250,-3.98056147433342,-1.0149525689165548,-0.7834141774579899,-1.1784413429313898,-0.9563471557667524
-9950,11900.0,-0.9650272834007865,-4.120941795005353,-0.6150388357746225,250,-3.6863376944034947,-0.9713218234255876,-0.6988387165279308,-1.1784413429313898,-0.8056839174088586
-9850,11800.0,-0.8621098345618885,-3.7648600589004935,-0.5438827290283188,250,-3.38696462999574,-0.8605563647824825,-0.6181395813638493,-1.167803171908085,-0.660878604522039
-9750,11700.0,-0.780836144211456,-3.445447723967812,-0.47339453075928245,250,-2.94180406085061,-0.77104482144764,-0.5508357955643439,-1.10148084614922,-0.605406090377981
-9650,11600.0,-0.6787475552705104,-3.0087490331078186,-0.3732623960700919,250,-2.56515691547078,-0.6643893301717221,-0.4811109646038728,-0.9947195372862835,-0.526348628814534
-9550,11500.0,-0.5677875659717485,-2.858425817622617,-0.27647571852196795,250,-2.3477753019443597,-0.5246653212810675,-0.41669226291409034,-0.8938807814701091,-0.43728825754079004
-9450,11400.0,-0.4998828442910115,-2.437495358647002,-0.1944208210752459,250,-2.069746677461085,-0.45707351205681446,-0.3508491132056022,-0.790857237292294,-0.35024266529875503
-9350,11300.0,-0.4173476685322865,-2.109023831644877,-0.1172248978543356,250,-1.71563744148608,-0.35842894208255704,-0.2958193450236688,-0.6540780279002114,-0.211121688399901
-9250,11200.0,-0.3306716078543954,-1.7614946719395508,-0.020489980917452348,250,-1.4725014816547302,-0.302472460918324,-0.24654458292636025,-0.5650550224367206,-0.115201791245389
-9150,11100.0,-0.29202940959586854,-1.628273850892213,0.023499362528957773,250,-1.29546537505253,-0.25743487990068203,-0.20551711967210556,-0.4696574128172935,-0.130778913353466
-9050,11000.0,-0.25128959229024384,-1.4438860393292616,0.12405862934685859,250,-1.1624601739294151,-0.2237604327638725,-0.15469419852143834,-0.4059615404056565,-0.05655866028015795
-8950,10900.0,-0.19469994480841155,-1.2922634436914764,0.14823883679889746,250,-1.00595062437029,-0.18684748691320652,-0.12680773338362475,-0.363490570142306,0.03891523579962925
-8850,10800.0,-0.1574496224779865,-1.1404821614591234,0.20166048613208276,250,-0.884863666425447,-0.16696926499180398,-0.08277498873417295,-0.30884448809417653,0.09853546267701291
-8750,10700.0,-0.107675658584125,-1.06116599192257,0.26246717475971626,250,-0.7472574156115835,-0.11942230092395151,-0.043756329050248205,-0.2230165751430555,0.1418354102006385
-8650,10600.0,-0.05860639123409435,-0.9465229343664011,0.25183677241181185,250,-0.611160106346181,-0.05958159395893685,0.00035676082442955,-0.14942412724516152,0.14467369087843351
-8550,10500.0,-0.0050107197086477,-0.679362588419865,0.3032139164745132,250,-0.428808310712022,-0.023776469742055252,0.04185306661209335,-0.09869414143841496,0.2176567647393505
-8450,10400.0,0.0234386277588921,-0.5010090561485259,0.340663338701542,250,-0.26664795654816353,0.0115347051033325,0.075820167215033,-0.0399764822121117,0.24496237438344248
-8350,10300.0,0.0832028831503032,-0.4269731428132641,0.3582015582531409,250,-0.12830198063664705,0.07303383770361216,0.11421663012501379,-0.0004072112968607,0.2727266087728285
